BASKETID,BASKETTYPE,DIRECTION,FID,LOCATION_DESCRIPTION,OWNERTYPE,SECTION,STATEPLANE_LABELX,STATEPLANE_LABELY,STATEPLANE_SNAPPEDX,STATEPLANE_SNAPPEDY,STREETNAME1,STREETNAME2,point
40220027,S,W,15410,W corner of SKILLMAN AV and ROOSEVELT AV,D,QW022,1009440.23,210777.5575,1009536.869,210775.3856,SKILLMAN AV,ROOSEVELT AV,POINT (-73.90909244499994 40.74518464400006)
30210232,C,NE,17348,NE corner of ALBEE SQ and FULTON ST,B,BKN021,988861.2083,190661.7936,988831.2605,190646.2264,ALBEE SQ,FULTON ST,POINT (-73.98337383299997 40.690006365000045)
10430303,C,NW,19277,NW corner of 8 AV and W 45 ST,B,MN043,987436.8998,215935.9373,987445.7931,215893.9905,8 AV,W 45 ST,POINT (-73.98849779999995 40.75937839300008)
41410098,S,,44166,,D,QE141,,,,,,,POINT (-73.85021988499994 40.57947455900006)
30540089,S,SE,11452,SE corner of SUTTER AV and NEW JERSEY AV,D,BKN054,1013639.96,183155.5097,1013614.862,183197.6619,SUTTER AV,NEW JERSEY AV,POINT (-73.89405661399996 40.66935573500007)
41020024,S,SW,12403,SW corner of LIBERTY AV and 115 ST,D,QE102,1031990.842,189066.9103,1032016.85,189129.2773,LIBERTY AV,115 ST,POINT (-73.82786367999995 40.68550123000006)
10230075,H,NE,474,NE corner of AVE OF THE AMERICAS and W 10 ST,B,MN023,984689.0247,206991.735,984646.7938,206979.051,AVE OF THE AMERICAS,W 10 ST,POINT (-73.99841729799994 40.734829363000074)
10520122,C,SE,19462,SE corner of 8 AV and W 44 ST,B,MN052,987377.687,215533.0073,987363.934,215593.4265,8 AV,W 44 ST,POINT (-73.98871172599996 40.75827247400008)
31040046,S,S,19855,S corner of 13 AV and 73 ST,D,BKS104,982541.5595,165602.8854,982532.0769,165663.3495,13 AV,73 ST,POINT (-74.00615557899994 40.621226172000036)
40540044,R,NE,6522,NE corner of MYRTLE AV and 83 ST,D,QW054,1021535.033,195547.6345,1021527.487,195513.8577,MYRTLE AV,83 ST,POINT (-73.86552794899995 40.703339518000064)
21250004,S,NE,6064,NE corner of WHITE PLAINS RD and ST OUEN ST,D,BX125,1025866.671,268756.4392,1025794.786,268715.004,WHITE PLAINS RD,ST OUEN ST,POINT (-73.84945156299995 40.904257905000065)
11030006,S,SE,4274,SE corner of W 136 ST and EDGECOMBE AV,D,MN103,998815.7921,237146.8246,998806.7619,237184.7094,W 136 ST,EDGECOMBE AV,POINT (-73.94737779399999 40.81758516800005)
20210009,S,SW,6230,SW corner of WESTCHESTER AV and ROGERS PL,D,BX021,1012440.308,238498.2583,1012495.071,238559.7821,WESTCHESTER AV,ROGERS PL,POINT (-73.89814915799997 40.82126150100004)
30730057,S,E,16199,E corner of 8 AV and 52 ST,D,BKS073,982969.2001,172440.3842,982928.582,172442.3586,8 AV,52 ST,POINT (-74.00461643299998 40.639993738000044)
40410071,S,W,15070,W corner of BROADWAY and WOODSIDE AV,D,QW041,1015952.602,210349.0068,1016039.867,210346.4593,BROADWAY,WOODSIDE AV,POINT (-73.88559199399998 40.74398743200004)
30510060,S,SE,20835,SE corner of PITKIN AV and ATKINS AV,D,BKN051,1017873.064,184943.494,1017848.577,184972.6649,PITKIN AV,ATKINS AV,POINT (-73.87878823499994 40.674248283000054)
10510205,H,NW,1474,NW corner of MADISON AV and E 28 ST,B,MN051,988189.0295,210426.8915,988200.5925,210369.93,MADISON AV,E 28 ST,POINT (-73.98578608799994 40.744257151000056)
30540108,S,NE,32310,NE corner of BLAKE AV and HINSDALE ST,D,BKN054,1012179.02,182426.7576,1012153.874,182379.573,BLAKE AV,HINSDALE ST,POINT (-73.89932602199998 40.667360203000044)
20410022,R,S,23033,S corner of MORRIS AV and E 163 ST,D,BX041,1007105.711,240600.7167,1007090.075,240648.5214,MORRIS AV,E 163 ST,POINT (-73.91741601499996 40.82704756500004)
40820004,S,W,13482,W corner of KINGSTON PL and HILLSIDE AV,D,QE082,1042813.004,198889.346,1042817.392,198877.5022,KINGSTON PL,HILLSIDE AV,POINT (-73.78875725699999 40.71239646500004)
40930058,S,NE,17886,NE corner of JAMAICA AV and 107 ST,D,QW093,1028554.255,192734.0887,1028535.659,192687.1048,JAMAICA AV,107 ST,POINT (-73.84023073799995 40.695584644000064)
31710008,H,S,10014,S corner of ROCKAWAY PKWY and CLARKSON AV,D,BKN171,1006394.701,180065.7623,1006393.03,180097.924,ROCKAWAY PKWY,CLARKSON AV,POINT (-73.92018443099994 40.66089615200008)
10830131,S,NW,3481,NW corner of PARK AV and E 78 ST,D,MN083,995001.9719,221698.4244,995004.6107,221662.0797,PARK AV,E 78 ST,POINT (-73.96118118799996 40.77518896500004)
21030066,S,N,9131,N corner of E TREMONT AV and GERBER PL,D,BX103,1034730.702,238065.9708,1034740.096,238018.6841,E TREMONT AV,GERBER PL,POINT (-73.81761683399998 40.81997573800004)
30410041,R,S,22289,S corner of WILSON AV and NOLL ST,D,BKN041,1003501.438,195509.9886,1003495.453,195550.1506,WILSON AV,NOLL ST,POINT (-73.93056860699994 40.70329379700007)
10630083,H,NW,2958,NW corner of SUTTON PL S and E 53 ST,B,MN063,994596.6371,214359.0831,994589.1394,214317.0219,SUTTON PL S,E 53 ST,POINT (-73.96265595599994 40.755044852000026)
11230009,S,S,6470,S corner of NAGLE AV and ELLWOOD ST,D,MN123,1004034.142,252616.2629,1004047.601,252656.3779,NAGLE AV,ELLWOOD ST,POINT (-73.92847918599995 40.86003412900004)
40320100,S,NE,15064,NE corner of 37 AV and 81 ST,D,QW032,1016084.623,212463.3678,1016060.91,212442.0128,37 AV,81 ST,POINT (-73.88510554399994 40.749790344000075)
30210132,S,NW,10973,NW corner of HENRY ST and CRANBERRY ST,D,BKN021,986427.8434,194133.9661,986430.8096,194097.2264,HENRY ST,CRANBERRY ST,POINT (-73.99214721099997 40.69953760800007)
30240085,S,NE,10603,NE corner of FULTON ST and ASHLAND PL,D,BKN024,990297.087,189930.3174,990274.9876,189903.8985,FULTON ST,ASHLAND PL,POINT (-73.97819683699998 40.68799776600008)
40330098,H,NW,19963,NW corner of 103 ST and 39 AV,D,QW033,1022124.955,212827.2358,1022158.907,212807.1827,103 ST,39 AV,POINT (-73.86330306599996 40.750765261000026)
41420064,S,W,13461,W corner of ROCKAWAY BEACH BLVD and BEACH 97 ST,D,QE142,1034528.622,152469.413,1034554.014,152447.123,ROCKAWAY BEACH BLVD,BEACH 97 ST,POINT (-73.81898598699996 40.58503503800006)
10110363,C,SW,6392,SW corner of BROADWAY and LIBERTY ST,B,MN011,981254.6215,197620.384,981290.0453,197632.7836,BROADWAY,LIBERTY ST,POINT (-74.01080561299995 40.70910676700004)
10110336,C,NW,6199,NW corner of MAIDEN LA and WILLIAM ST,B,MN011,982030.5153,197311.8098,982036.3069,197243.9097,MAIDEN LA,WILLIAM ST,POINT (-74.00800690499995 40.708260033000045)
30220123,S,E,11293,E corner of SMITH ST and WYCKOFF ST,D,BKN022,986833.2908,189255.4424,986798.5349,189243.9949,SMITH ST,WYCKOFF ST,POINT (-73.99068686399994 40.686147077000044)
10510091,H,NE,1420,NE corner of BROADWAY and W 25 ST,B,MN051,987316.8449,210020.8674,987280.4204,209994.2549,BROADWAY,W 25 ST,POINT (-73.98893385499997 40.74314306100007)
30220014,H,W,9340,W corner of LIVINGSTON ST and HOYT ST,B,BKN022,988137.5283,190495.0551,988176.8163,190510.4524,LIVINGSTON ST,HOYT ST,POINT (-73.98598345599999 40.689549053000064)
10630209,S,,4356,Unknown corner,D,MN063,993073.046,212822.1902,993061.5211,212794.0689,,,POINT (-73.96815727199998 40.75082812100004)
50320002,S,SE,18845,SE corner of RICHMOND AV and GURLEY AV,D,SI032,937246.9982,142972.4569,937191.8461,143010.5408,RICHMOND AV,GURLEY AV,POINT (-74.16915785299994 40.55898575500004)
41320008,H,SE,20968,SE corner of HILLSIDE AV and 231 ST,D,QE132,1056699.615,206389.2323,1056646.292,206418.6423,HILLSIDE AV,231 ST,POINT (-73.73858602599995 40.732878938000056)
40720031,S,NE,15972,NE corner of MAIN ST and 58 AV,D,QE072,1032590.505,210884.846,1032510.389,210872.157,MAIN ST,58 AV,POINT (-73.82554482999996 40.74538288000008)
10430089,S,SE,1394,SE corner of 11 AV and W 53 ST,D,MN043,986144.032,218904.3631,986132.9555,218951.3564,11 AV,W 53 ST,POINT (-73.99316378699996 40.76752633000007)
10520311,H,NW,2321,NW corner of PARK AV and E 53 ST,B,MN052,991795.1978,215917.5006,991797.1765,215868.7215,PARK AV,E 53 ST,POINT (-73.97276581399996 40.75932514500005)
20620138,S,SE,9543,SE corner of WEBSTER AV and E TREMONT AV,D,BX062,1011680.922,248049.2323,1011681.641,248089.704,WEBSTER AV,E TREMONT AV,POINT (-73.90085378099997 40.847478548000026)
41150002,S,SE,13347,SE corner of DOUGLASTON PKWY and 61 AV,D,QE115,1056497.114,214610.3684,1056459.635,214681.8473,DOUGLASTON PKWY,61 AV,POINT (-73.73922838699997 40.75544546200007)
20530012,R,N,22904,N corner of WEBSTER AV and E 180 ST,D,BX053,1012324.016,249743.2912,1012351.551,249704.8812,WEBSTER AV,E 180 ST,POINT (-73.89852225699997 40.852126215000055)
10830071,R,SE,19924,SE corner of 2 AV and E 80 ST,D,MN083,996889.685,221195.3493,996855.9948,221245.8141,2 AV,E 80 ST,POINT (-73.95436650099998 40.77380565900006)
10810144,H,SW,5748,SW corner of 3 AV and E 65 ST,B,MN081,994184.6655,218089.0038,994221.5119,218102.661,3 AV,E 65 ST,POINT (-73.96413742799996 40.76528300100006)
30530040,S,NW,22681,NW corner of SUTTER AV and CRESCENT ST,D,BKN053,1020408.59,184596.9924,1020443.011,184566.7897,SUTTER AV,CRESCENT ST,POINT (-73.86964938199998 40.673287222000056)
10730211,S,SW,8153,SW corner of COLUMBUS AV and W 91 ST,D,MN073,992523.6422,226946.1771,992559.6353,226976.4588,COLUMBUS AV,W 91 ST,POINT (-73.97012279699999 40.789595322000025)
10230026,S,W,374,W corner of HUDSON ST and W 12 ST,D,MN023,982632.2011,208031.5282,982647.5928,208002.0568,HUDSON ST,W 12 ST,POINT (-74.00583926299998 40.73768320200003)
10130083,S,NE,7806,NE corner of GREENWICH ST and JAY ST,D,MN013,981388.2971,200947.1631,981370.5176,200918.8239,GREENWICH ST,JAY ST,POINT (-74.01032486699995 40.71823802800003)
10210094,S,N,20091,N corner of 7 AV S and BARROW ST,D,MN021,983381.7465,206190.7822,983332.8365,206138.1997,7 AV S,BARROW ST,POINT (-74.00313429599998 40.73263091200005)
50210013,S,E,15008,E corner of CLOVE RD and HANOVER AV,D,SI021,960067.5589,160235.444,960027.5973,160235.3948,CLOVE RD,HANOVER AV,POINT (-74.08709209199998 40.60646081700003)
20720061,H,N,10688,N corner of WEBSTER AV and BEDFORD PARK BLVD,D,BX072,1016461.467,255346.6367,1016443.266,255317.4815,WEBSTER AV,BEDFORD PARK BLVD,POINT (-73.88353969399998 40.86749157900005)
10850138,H,NW,2872,NW corner of 1 AV and E 92 ST,D,MN085,999006.8087,223783.0636,999017.9229,223743.9686,1 AV,E 92 ST,POINT (-73.94671705099995 40.78090497200003)
30110053,C,N,19650,N corner of MANHATTAN AV and MESEROLE AV,D,BKN011,997385.101,204237.439,997377.0538,204207.2294,MANHATTAN AV,MESEROLE AV,POINT (-73.95261094699998 40.727259754000045)
40820050,H,NW,10778,NW corner of HILLSIDE AV and 164 ST,D,QE082,1039924.715,197615.4273,1039946.873,197600.2673,HILLSIDE AV,164 ST,POINT (-73.79918617699997 40.70891851500005)
40310007,S,NW,15720,NW corner of NORTHERN BLVD and 106 ST,D,QW031,1022156.097,215471.2407,1022234.123,215416.4426,NORTHERN BLVD,106 ST,POINT (-73.86317576399995 40.75802224200004)
40940053,S,SW,16675,SW corner of JAMAICA AV and 133 ST,D,QW094,1034220.742,195094.5728,1034250.385,195145.3276,JAMAICA AV,133 ST,POINT (-73.81977870399999 40.70203342800006)
20110207,R,S,7790,S corner of 3 AV and E 144 ST,D,BX011,1005838.134,235678.6435,1005822.004,235721.2051,3 AV,E 144 ST,POINT (-73.92201203499997 40.81354105400004)
20820148,R,W,9736,W corner of BROADWAY and W 233 ST,D,BX082,1010831.285,260220.1519,1010914.72,260197.1109,BROADWAY,W 233 ST,POINT (-73.90387647299997 40.88088662200005)
30720066,S,E,13806,E corner of 5 AV and PROSPECT AV,D,BKS072,986976.7396,181244.7941,986915.0537,181236.2091,5 AV,PROSPECT AV,POINT (-73.99017286999998 40.664159604000076)
40310038,S,SE,15393,SE corner of ASTORIA BLVD and 98 ST,D,QW031,1019971.401,216915.1971,1019915.899,216978.9427,ASTORIA BLVD,98 ST,POINT (-73.87105394899999 40.76199462500006)
10520588,H,NE,2502,NE corner of 5 AV and E 38 ST,B,MN052,989126.5244,212894.051,989074.0881,212877.215,5 AV,E 38 ST,POINT (-73.98240102299997 40.75102841700005)
30230158,S,SW,20616,SW corner of GREENE AV and ADELPHI ST,D,BKN023,992404.2517,189213.7145,992422.1818,189247.4628,GREENE AV,ADELPHI ST,POINT (-73.97059968199994 40.68602916400005)
11130128,R,NE,2017,NE corner of E 125 ST and PARK AV,D,MN113,1001229.454,232579.362,1001194.221,232591.3098,E 125 ST,PARK AV,POINT (-73.93866921199998 40.80504444500008)
40820015,H,Direction TBD,11561,Location Description T/K,D,QE082,1046345.211,201938.3829,1046287.925,201916.1304,Street Name TBD,MC LAUGHLIN AV,POINT (-73.77598806699996 40.720741230000044)
10930062,S,NW,4276,NW corner of W 145 ST and EDGECOMBE AV,D,MN093,999786.0224,239450.9956,999789.9128,239398.8716,W 145 ST,EDGECOMBE AV,POINT (-73.94386718799996 40.82390781400005)
10230014,S,N,19412,N corner of GREENWICH ST and W 12 ST,D,MN023,982493.5881,208031.4488,982472.6846,208004.5932,GREENWICH ST,W 12 ST,POINT (-74.00633944699996 40.73768295700006)
40910012,H,SW,17247,SW corner of 101 AV and 104 ST,D,QW091,1028851.462,189246.178,1028875.208,189303.9226,101 AV,104 ST,POINT (-73.83918203799993 40.68600965400003)
10720116,H,SW,19323,SW corner of COLUMBUS AV and W 73 ST,B,MN072,990185.2814,222743.1536,990223.7902,222758.7278,COLUMBUS AV,W 73 ST,POINT (-73.97857104599996 40.77806101900006)
40770031,S,NW,20289,NW corner of NORTHERN BLVD and STATION RD,D,QE077,1038845.458,216820.8305,1038852.712,216804.2548,NORTHERN BLVD,STATION RD,POINT (-73.80292313199999 40.761639211000045)
10610048,S,SW,2534,SW corner of 1 AV and E 25 ST,D,MN061,990370.7938,208197.4587,990413.193,208213.2742,1 AV,E 25 ST,POINT (-73.97791445999997 40.73813667100006)
30220194,C,W,17576,W corner of FLATBUSH AV and NEVINS ST,B,BKN022,989480.6552,190148.0994,989532.223,190182.6066,FLATBUSH AV,NEVINS ST,POINT (-73.98114056099996 40.68859604800008)
10130053,S,SW,7416,SW corner of HUDSON ST and HARRISON ST,D,MN013,981752.0211,201042.9621,981776.3927,201075.1553,HUDSON ST,HARRISON ST,POINT (-74.00901279099998 40.718501084000025)
40940040,S,NW,18068,NW corner of LEFFERTS BLVD and ABINGDON RD,D,QW094,1030873.834,196999.1766,1030908.178,196935.1311,LEFFERTS BLVD,ABINGDON RD,POINT (-73.83183632899994 40.70727937600003)
10820101,H,SE,3846,SE corner of YORK AV and E 76 ST,B,MN082,997610.783,219534.9724,997603.9625,219576.2604,YORK AV,E 76 ST,POINT (-73.95176631399994 40.76924729700005)
20620153,H,N,17790,N corner of BRONX PARK S and BOSTON RD,D,BX062,1018208.383,246958.9458,1018274.913,246924.8591,BRONX PARK S,BOSTON RD,POINT (-73.87726615099996 40.844463344000076)
30420140,R,N,22935,N corner of WYCKOFF AV and HIMROD ST,D,BKN042,1007234.152,195430.6207,1007246.903,195420.4491,WYCKOFF AV,HIMROD ST,POINT (-73.91710636199997 40.70306704300003)
11220251,R,E,7534,E corner of FT WASHINGTON AV and W 178 ST,D,MN122,1001101.419,248408.872,1001092.968,248450.2315,FT WASHINGTON AV,W 178 ST,POINT (-73.93909193499996 40.84849218000005)
41340005,S,NE,14733,NE corner of HOLLIS AV and FRANCIS LEWIS BLVD,D,QE134,1053249.875,197186.6503,1053246.588,197101.8959,HOLLIS AV,FRANCIS LEWIS BLVD,POINT (-73.75112777399994 40.707647750000035)
10130115,S,NE,8049,NE corner of GREENWICH ST and HARRISON ST,D,MN013,981431.6093,201197.4549,981404.3954,201168.9576,GREENWICH ST,HARRISON ST,POINT (-74.01016872599997 40.71892503300006)
20920019,S,NW,10367,NW corner of WESTCHESTER AV and FTELEY AV,D,BX092,1019673.267,241857.2092,1019702.442,241837.7414,WESTCHESTER AV,FTELEY AV,POINT (-73.87199859199995 40.83045481400006)
40520012,H,SE,18070,SE corner of MYRTLE AV and WEIRFIELD ST,B,QW052,1011307.504,194427.4796,1011297.104,194479.4336,MYRTLE AV,WEIRFIELD ST,POINT (-73.90241937299999 40.70030213900003)
11210015,R,SW,6485,SW corner of BROADWAY and W 171 ST,D,MN121,1001021.428,246459.9021,1001043.229,246488.824,BROADWAY,W 171 ST,POINT (-73.93938593799999 40.843142983000064)
30620096,H,SW,38128,SW corner of ATLANTIC AV and CLINTON ST,B,BKS062,985689.5293,190725.3794,985784.6852,190725.9408,ATLANTIC AV,CLINTON ST,POINT (-73.99481061499995 40.690181977000066)
10430181,S,SW,10957,SW corner of 8 AV and W 54 ST,D,MN043,988518.3566,217902.4661,988561.5071,217912.0212,8 AV,W 54 ST,POINT (-73.98459285199993 40.76477555400004)
10420220,S,Direction TBD,20931,Location Description T/K,D,MN042,983909.897,211154.5105,983881.3885,211170.2782,Street Name TBD,,POINT (-74.00122886599996 40.74625515300005)
11030029,S,NW,704,NW corner of FREDERICK DOUGLASS BOULEVARD and W 135 ST,D,MN103,999022.8441,236827.4923,999029.2942,236791.2752,FREDERICK DOUGLASS BOULEVARD,W 135 ST,POINT (-73.94663045399994 40.81670834700003)
20430050,R,E,22625,E corner of EDWARD L GRANT HWY and W 170 ST,D,BX043,1006094.037,245234.272,1006068.155,245297.9281,EDWARD L GRANT HWY,W 170 ST,POINT (-73.92105644699996 40.83976789600007)
31710041,H,N,10544,N corner of RUTLAND RD and E 91 ST,D,BKN171,1004152.01,180328.2546,1004145.547,180299.4426,RUTLAND RD,E 91 ST,POINT (-73.92826707199998 40.66162196000005)
30740040,S,W,17918,W corner of 60 ST and 5 AV,D,BKS074,979673.457,172264.602,979729.1232,172252.6805,60 ST,5 AV,POINT (-74.01649156599996 40.63951016300007)
31030113,S,N,21872,N corner of 4 AV and 95 ST,D,BKS103,975569.1925,163789.8585,975583.4753,163738.5043,4 AV,95 ST,POINT (-74.03126908199994 40.616245701000025)
10230262,R,SW,18980,SW corner of 5 AV and W 13 ST,D,MN023,985806.175,207142.5598,985846.8242,207166.2127,5 AV,W 13 ST,POINT (-73.99438620799998 40.735243214000036)
31610016,S,NE,10131,NE corner of SARATOGA AV and DEAN ST,D,BKN161,1007434.338,185286.7519,1007398.508,185246.1135,SARATOGA AV,DEAN ST,POINT (-73.91641927399996 40.67522394000008)
10620037,H,NE,4884,NE corner of 3 AV and E 42 ST,B,MN062,991414.9027,212824.8966,991377.3512,212812.2742,3 AV,E 42 ST,POINT (-73.97414184699994 40.75083704800005)
20430024,H,E,6436,E corner of E 172 ST and TOWNSEND AV,P,BX043,1007780.284,246090.9629,1007712.962,246047.4476,E 172 ST,TOWNSEND AV,POINT (-73.91495929999996 40.84211493000004)
10340021,R,SW,22571,SW corner of AV A and E 11 ST,D,MN034,989225.1013,204647.386,989263.1527,204667.9401,AV A,E 11 ST,POINT (-73.98205133499994 40.72839331100005)
10520230,H,SE,2238,SE corner of MADISON AV and E 41 ST,B,MN052,989878.055,213219.2459,989868.3975,213274.3829,MADISON AV,E 41 ST,POINT (-73.97968831499998 40.75192054900003)
31040093,S,E,16141,E corner of FT HAMILTON PKWY and 62 ST,D,BKS104,982375.3236,169567.6934,982338.1042,169566.1796,FT HAMILTON PKWY,62 ST,POINT (-74.00675549499994 40.632108706000054)
11210084,R,NE,8069,NE corner of BROADWAY and W 160 ST,D,MN121,999969.6011,243830.1873,999935.6934,243825.0898,BROADWAY,W 160 ST,POINT (-73.94319362699997 40.83592711600005)
20940034,S,NW,10873,NW corner of CASTLE HILL AV and LACOMBE AV,D,BX094,1026355.677,236991.5599,1026407.993,236956.7473,CASTLE HILL AV,LACOMBE AV,POINT (-73.84788211499995 40.81707067600007)
31510111,S,SW,21045,SW corner of AV P and E 5 ST,D,BKS151,992811.3579,161175.7745,992834.3463,161209.8184,AV P,E 5 ST,POINT (-73.96916736199995 40.60907069600006)
10820147,S,SW,4220,SW corner of MADISON AV and E 74 ST,D,MN082,994018.0543,220927.3338,994054.4486,220939.1218,MADISON AV,E 74 ST,POINT (-73.96473476799997 40.77307366500003)
31820021,R,E,13796,E corner of FLATLANDS AV and E 86 ST,O,BKS182,1009637.69,171854.1134,1009577.475,171845.2568,FLATLANDS AV,E 86 ST,POINT (-73.90852651499995 40.63834826100004)
10210378,S,NW,20107,NW corner of AVE OF THE AMERICAS and BLEECKER ST,D,MN021,983647.5219,205236.4173,983644.6908,205213.5299,AVE OF THE AMERICAS,BLEECKER ST,POINT (-74.00217523499998 40.73001143600005)
10110233,S,Direction TBD,6544,Location Description T/K,D,MN011,981310.6171,200120.7484,981329.8988,200153.0987,Street Name TBD,,POINT (-74.01060473199993 40.715969692000044)
10850091,H,SE,5404,SE corner of YORK AV and E 88 ST,B,MN085,999184.8746,222377.1166,999177.9098,222415.1917,YORK AV,E 88 ST,POINT (-73.94607720899995 40.77704572000005)
41210036,H,SW,11770,SW corner of JAMAICA AV and 168 ST,B,QE121,1041740.922,196605.5127,1041734.258,196638.0385,JAMAICA AV,168 ST,POINT (-73.79264387899997 40.706134931000065)
30620067,R,S,15644,S corner of SMITH ST and DE GRAW ST,D,BKS062,986205.1083,188002.4728,986185.2487,188053.7381,SMITH ST,DE GRAW ST,POINT (-73.99295226799995 40.682708121000076)
10820045,R,SW,21962,SW corner of 1 AV and E 70 ST,D,MN082,996097.8145,218524.9931,996131.1668,218535.0617,1 AV,E 70 ST,POINT (-73.95723021599997 40.76647732200007)
20810006,S,E,14509,E corner of W KINGSBRIDGE RD and BAILEY AV,D,BX081,1010420.824,257422.4419,1010375.404,257422.9826,W KINGSBRIDGE RD,BAILEY AV,POINT (-73.90537173799999 40.873209003000056)
10930191,S,NW,3346,NW corner of W 142 ST and CONVENT AV,D,MN093,998743.5205,239090.7919,998744.869,239052.2221,W 142 ST,CONVENT AV,POINT (-73.94763469999998 40.822920929000084)
10730197,S,NE,8140,NE corner of RIVERSIDE DR and W 81 ST,D,MN073,989466.8452,225724.5164,989419.261,225719.6109,RIVERSIDE DR,W 81 ST,POINT (-73.98116277499997 40.78624452300005)
40150056,S,N,16559,N corner of 30 AV and 43 ST,D,QW015,1008440.344,217265.8418,1008460.01,217213.9587,30 AV,43 ST,POINT (-73.91267758699996 40.76299612300005)
